Course Code,Course Name
  CJS220H1,The Holocaust in Fiction
  CJS230H1,"God, Nation, and Self Transformed: The Secularization of the Jewish Experience"
  CJS290H1,Topics in Jewish Studies
  CJS330H1,"Who's a Jew? Theory, Myth, and Practice"
  CJS340H1,"Mizrahim in Israel: History, Politics, and Culture"
  CJS383H1,Jews and Power
  CJS389H1,Jewish Secularism and Messianic Thought: From Spinoza to Derrida
  CJS390H1,Special Topics in Jewish Studies
  CJS391H1,Special Topics in Jewish Studies
  CJS392H1,Special Topics in Jewish Studies
  CJS396H1,Independent Study
  CJS400H1,Research Seminar in Jewish Studies
  CJS401H1,Community & Identity
  CJS401Y1,Community & Identity
  CJS430H1,Encounters between Jewish and Modern Thought
  CJS440H1,The Arab Jew: A History of a Concept
  CJS444H1,Topics in the Study of Antisemitism
  CJS490H1,Advanced Topics in Jewish Studies
  CJS491H1,Advanced Topics in Jewish Studies
  CJS498Y1,Independent Study
  CJS499H1,Independent Study
  CLA160H1,Introduction to Classical Studies
  CLA195H1,Socrates and his Legacy
  CLA196H1,Homer's Odyssey down through Time
  CLA197H1,Death and Immortality in Ancient Thought
  CLA198H1,Julius Caesar
  CLA199H1,"Loss, Losing, Losers"
  CLA201H1,Latin & Greek in Scientific Terminology
  CLA203H1,Science in Antiquity
  CLA204H1,Introduction to Classical Mythology
  CLA210H1,Greek and Roman Archaeology
  CLA215H1,Classical Warfare
  CLA217H1,Marginal Identities in the Ancient Mediterranean
  CLA219H1,Women in Antiquity
  CLA230H1,Introduction to Greek History
  CLA231H1,Introduction to Roman History
  CLA232H1,Greek Literature and Society
  CLA233H1,Roman Literature and Society
  CLA236H1,Greek and Roman Epic
  CLA260H1,Method and Theory in Classics
  CLA299H1,Research Opportunity Program
  CLA299Y1,Research Opportunity Program
  CLA303H1,The Ancient Novel
  CLA305H1,Theories of Myth
  CLA308H1,Religion in the Greek World
  CLA310H1,Religion in the Roman World
  CLA312H1,Persons and Passions
  CLA315H1,Insider-Outsiders: Being Greek in the Roman Empire
  CLA317H1,Greek and Roman Colonialism
  CLA319H1,Sexuality and Gender in Classical Literature
  CLA321H1,Sport and Festival
  CLA322H1,Classical Reception
  CLA336H1,Roman Law
  CLA362H1,Early Greece
  CLA363H1,Archaic and Classical Greece
  CLA364H1,The Hellenistic World
  CLA367H1,The Roman Republic
  CLA368H1,Augustus and the Julio-Claudians
  CLA369H1,The Roman Empire
  CLA372H1,The Economic History of the Classical World
  CLA373H1,The Environment in the Greco-Roman World
  CLA378H1,Late Antiquity
  CLA382H1,Tragedy
  CLA383H1,Comedy
  CLA387H1,Spectacle in the Roman World
  CLA388H1,Classical Antiquity and the Cinema
  CLA389H1,Classical Spaces: Sites and Monuments
  CLA392H1,Topics in the study of Classical Culture and Society
  CLA398H0,Research Excursions
  CLA398Y0,Research Excursions
  CLA399H1,Research Opportunity Program
  CLA399Y1,Research Opportunity Program
  CLA400H1,Independent Studies
  CLA401H1,Independent Studies
